province,average_temp,average_rain,average_sun
LAS PALMAS,21.729551337359766,0.3176495910460611,7.3261000862812935
LEON,11.909036939313985,1.5300131926121372,7.3163340724316255
LLEIDA,14.982559774964823,0.9426160337552751,8.119268635724328
LUGO,11.840472878998622,3.137830319888737,5.177391304347826
MADRID,13.177431468268814,1.5490619136960584,7.674988991633623
MALAGA,18.621438082556608,2.2488681757656455,8.191078561917447
MELILLA,18.989591567852433,1.1880105401844536,7.462845849802374
MURCIA,17.81919326241136,0.9156429518338488,8.328293545534933
NAVARRA,13.005870020964366,1.7952480782669442,6.160219478738003
OURENSE,15.089959294436893,2.4301221166892817,6.096105702364392
PONTEVEDRA,14.625784447476114,4.167116812964219,6.611520109066133
SALAMANCA,12.644805194805212,0.9714935064935064,7.892866578599741
SEGOVIA,12.185751978891819,1.265963060686016,7.315303430079144
SEVILLA,18.807128842380635,1.7925441465009813,8.28540575916231
SORIA,10.139210155148103,1.4759493670886084,7.361253561253561
STA. CRUZ DE TENERIFE,18.72312164579601,0.9351934192974639,7.100716226228698
TARRAGONA,16.387722908093277,1.3373477672530432,7.338964577656677
TERUEL,12.124863013698617,1.1545827633378924,6.947648624667269
TOLEDO,15.706332453825876,1.1155672823219003,8.34828042328042
VALENCIA,17.012135278514574,1.1597640891218868,7.581895984200131
VALLADOLID,11.902088948787048,1.1974393530997312,7.426163182737683
ZAMORA,12.825982256020284,1.0276299112801013,6.776660682226212
ZARAGOZA,14.201707650273232,0.9512978142076498,7.695081967213105
