province,average_temp,average_rain,average_sun
A CORUÑA,13.996235025670302,3.9484502757178217,5.389586902722258
ALBACETE,15.118621281464522,0.9199771036061802,7.86789473684212
ALICANTE,18.61854399541419,0.8022922636103144,8.106934097421194
ALMERIA,19.330141643059438,0.5228328611898019,8.349035187287178
ARABA/ALAVA,12.039311594202928,2.0947463768115933,5.395649546827803
ASTURIAS,13.944979448032885,2.688841033672677,4.829020700636932
AVILA,11.779481132075457,1.2997051886792466,7.251356132075463
BADAJOZ,17.380898876404505,1.3038202247191009,7.993202247191016
BARCELONA,16.16818312697954,1.6990786063921675,7.317432784041627
BIZKAIA,14.943331284572844,2.9568880688806862,4.681046247156937
BURGOS,11.625754884547083,1.6939609236234434,6.234004739336498
CACERES,16.42049830124573,1.635956964892412,8.119762174405432
CADIZ,18.16650310290089,1.6417684700407231,8.447954676397154
CANTABRIA,14.75060532687648,3.1315072639225217,4.848516949152547
CASTELLON,18.259526493799303,1.5027621195039447,7.756200676437431
CEUTA,19.38294117647058,1.796672828096119,
CIUDAD REAL,16.016886846639885,1.1934256055363313,7.6693279724296595
CORDOBA,18.44021493212669,1.7253959276018087,8.145588235294117
CUENCA,13.485641605426785,1.4848501978518946,7.275918598078022
GIPUZKOA,14.572485714285675,4.25765714285715,4.825300171526589
GIRONA,15.11089855072462,2.083526011560693,6.569871794871807
GRANADA,15.940864440078565,1.0995509402189168,8.150912152680327
GUADALAJARA,12.071842709529285,1.3225889781859916,6.7471638984644375
HUELVA,18.35307950727884,1.6258678611422177,8.312921669525426
HUESCA,14.608908406524497,1.3409887359198993,7.767360208062428
ILLES BALEARS,17.993702734147742,1.3489840348330981,7.843258074631555
JAEN,17.202451253481886,1.3040133779264211,7.643755615453736
LA RIOJA,14.377873070325888,1.3224128073184682,6.418124642652962
LAS PALMAS,21.284603773584898,0.28674085250848746,8.362004530011335
LEON,12.147967250141177,1.7392998306041803,7.020344980097293
LLEIDA,15.715632458233898,1.1284009546539375,7.871607890017934
LUGO,12.203797468354432,3.67644163150492,4.895557228915649
MADRID,13.687478698368917,1.675656130657352,7.520747967479694
MALAGA,18.94145496535797,1.6389722863741336,8.215101289134434
MELILLA,19.02260115606932,1.2289504036908878,7.432410611303337
MURCIA,18.572967285249653,0.8740960397933789,8.263182079264782
NAVARRA,13.35987424978565,1.9646184624178336,6.315688553166761
OURENSE,15.177784256559766,2.564373177842563,5.667172011661806
